DATE,DAAA
2016-01-29,4.05
2016-02-01,4.08
2016-02-02,4.01
2016-02-03,4.06
2016-02-04,4.00
2016-02-05,3.98
2016-02-08,3.87
2016-02-09,3.92
2016-02-10,3.92
2016-02-11,3.89
2016-02-12,3.98
2016-02-15,.
2016-02-16,4.01
2016-02-17,4.05
2016-02-18,4.01
2016-02-19,3.96
2016-02-22,3.97
2016-02-23,3.93
2016-02-24,3.91
2016-02-25,3.85
2016-02-26,3.88
2016-02-29,3.84
2016-03-01,3.91
2016-03-02,3.90
2016-03-03,3.89
2016-03-04,3.92
2016-03-07,3.91
2016-03-08,3.85
2016-03-09,3.89
2016-03-10,3.88
2016-03-11,3.86
2016-03-14,3.82
2016-03-15,3.79
2016-03-16,3.81
2016-03-17,3.79
2016-03-18,3.77
2016-03-21,3.83
2016-03-22,3.79
2016-03-23,3.74
2016-03-24,3.77
2016-03-25,.
2016-03-28,3.74
2016-03-29,3.71
2016-03-30,3.76
2016-03-31,3.72
2016-04-01,3.72
2016-04-04,3.71
2016-04-05,3.63
2016-04-06,3.64
2016-04-07,3.58
2016-04-08,3.61
2016-04-11,3.61
2016-04-12,3.65
2016-04-13,3.60
2016-04-14,3.62
2016-04-15,3.59
2016-04-18,3.61
2016-04-19,3.52
2016-04-20,3.57
2016-04-21,3.57
2016-04-22,3.59
2016-04-25,3.62
2016-04-26,3.65
2016-04-27,3.59
2016-04-28,3.63
2016-04-29,3.63
2016-05-02,3.68
2016-05-03,3.65
2016-05-04,3.66
2016-05-05,3.63
2016-05-06,3.67
2016-05-09,3.66
2016-05-10,3.65
2016-05-11,3.61
2016-05-12,3.64
2016-05-13,3.57
2016-05-16,3.62
2016-05-17,3.61
2016-05-18,3.71
2016-05-19,3.66
2016-05-20,3.67
2016-05-23,3.68
2016-05-24,3.68
2016-05-25,3.69
2016-05-26,3.63
2016-05-27,3.65
2016-05-30,.
2016-05-31,3.63
2016-06-01,3.63
2016-06-02,3.59
2016-06-03,3.51
2016-06-06,3.54
2016-06-07,3.53
2016-06-08,3.52
2016-06-09,3.49
2016-06-10,3.48
2016-06-13,3.47
2016-06-14,3.45
2016-06-15,3.43
2016-06-16,3.43
2016-06-17,3.47
2016-06-20,3.50
2016-06-21,3.57
2016-06-22,3.56
2016-06-23,3.62
2016-06-24,3.55
2016-06-27,3.42
2016-06-28,3.42
2016-06-29,3.37
2016-06-30,3.39
2016-07-01,3.34
2016-07-04,.
2016-07-05,3.22
2016-07-06,3.23
2016-07-07,3.22
2016-07-08,3.18
2016-07-11,3.22
2016-07-12,3.30
2016-07-13,3.24
2016-07-14,3.28
2016-07-15,3.33
2016-07-18,3.34
2016-07-19,3.31
2016-07-20,3.34
2016-07-21,3.35
2016-07-22,3.34
2016-07-25,3.30
2016-07-26,3.31
2016-07-27,3.29
2016-07-28,3.30
2016-07-29,3.25
2016-08-01,3.32
2016-08-02,3.37
2016-08-03,3.46
2016-08-04,3.42
2016-08-05,3.42
2016-08-08,3.41
2016-08-09,3.37
2016-08-10,3.30
2016-08-11,3.33
2016-08-12,3.28
2016-08-15,3.33
2016-08-16,3.34
2016-08-17,3.31
2016-08-18,3.28
2016-08-19,3.30
2016-08-22,3.25
2016-08-23,3.25
2016-08-24,3.25
2016-08-25,3.27
2016-08-26,3.30
2016-08-29,3.22
2016-08-30,3.24
2016-08-31,3.24
2016-09-01,3.24
2016-09-02,3.28
2016-09-05,.
2016-09-06,3.25
2016-09-07,3.28
2016-09-08,3.36
2016-09-09,3.43
2016-09-12,3.43
2016-09-13,3.51
2016-09-14,3.50
2016-09-15,3.52
2016-09-16,3.51
2016-09-19,3.50
2016-09-20,3.50
2016-09-21,3.47
2016-09-22,3.44
2016-09-23,3.44
2016-09-26,3.43
2016-09-27,3.39
2016-09-28,3.39
2016-09-29,3.37
2016-09-30,3.44
2016-10-03,3.43
2016-10-04,3.49
2016-10-05,3.51
2016-10-06,3.53
2016-10-07,3.5
2016-10-10,.
2016-10-11,3.52
2016-10-12,3.51
2016-10-13,3.48
2016-10-14,3.56
2016-10-17,3.52
2016-10-18,3.48
2016-10-19,3.47
2016-10-20,3.46
2016-10-21,3.45
2016-10-24,3.48
2016-10-25,3.47
2016-10-26,3.52
2016-10-27,3.59
2016-10-28,3.64
2016-10-31,3.61
2016-11-01,3.6
2016-11-02,3.61
2016-11-03,3.65
2016-11-04,3.62
2016-11-07,3.67
2016-11-08,3.7
2016-11-09,3.85
2016-11-10,3.87
2016-11-11,.
2016-11-14,3.97
2016-11-15,3.91
2016-11-16,3.86
2016-11-17,3.96
2016-11-18,3.99
2016-11-21,4
2016-11-22,4.01
2016-11-23,4.02
2016-11-24,.
2016-11-25,4.02
2016-11-28,3.98
2016-11-29,3.95
2016-11-30,4.01
2016-12-01,4.08
2016-12-02,4.03
2016-12-05,4.02
2016-12-06,4.04
2016-12-07,4
2016-12-08,4.05
2016-12-09,4.12
2016-12-12,4.11
2016-12-13,4.09
2016-12-14,4.08
2016-12-15,4.07
2016-12-16,4.11
2016-12-19,4.05
2016-12-20,4.09
2016-12-21,4.05
2016-12-22,4.06
2016-12-23,4.04
2016-12-26,.
2016-12-27,4.07
2016-12-28,4.01
2016-12-29,4.01
2016-12-30,3.98
2017-01-02,.
2017-01-03,3.94
2017-01-04,3.93
2017-01-05,3.85
2017-01-06,3.91
2017-01-09,3.88
2017-01-10,3.87
2017-01-11,3.84
2017-01-12,3.86
2017-01-13,3.9
2017-01-16,.
2017-01-17,3.84
2017-01-18,3.91
2017-01-19,3.95
2017-01-20,3.97
2017-01-23,3.91
2017-01-24,3.96
2017-01-25,4.02
2017-01-26,4
2017-01-27,3.95
2017-01-30,3.95
2017-01-31,3.99
2017-02-01,4.01
2017-02-02,4
2017-02-03,4.04
2017-02-06,3.97
2017-02-07,3.96
2017-02-08,3.91
2017-02-09,3.94
2017-02-10,3.97
2017-02-13,3.98
2017-02-14,4
2017-02-15,4.01
2017-02-16,3.98
2017-02-17,3.95
2017-02-20,.
2017-02-21,3.95
2017-02-22,3.94
2017-02-23,3.91
2017-02-24,3.85
2017-02-27,3.87
2017-02-28,3.84
2017-03-01,3.95
2017-03-02,3.95
2017-03-03,3.95
2017-03-06,3.98
2017-03-07,4
2017-03-08,4.07
2017-03-09,4.11
2017-03-10,4.11
2017-03-13,4.13
2017-03-14,4.13
2017-03-15,4.07
2017-03-16,4.08
2017-03-17,4.06
2017-03-20,4.03
2017-03-21,3.99
2017-03-22,3.96
2017-03-23,3.97
2017-03-24,3.94
2017-03-27,3.92
2017-03-28,3.95
2017-03-29,3.92
2017-03-30,3.94
2017-03-31,3.94
2017-04-03,3.91
2017-04-04,3.93
2017-04-05,3.94
2017-04-06,3.92
2017-04-07,3.93
2017-04-10,3.91
2017-04-11,3.85
2017-04-12,3.85
2017-04-13,3.83
2017-04-14,.
2017-04-17,3.86
2017-04-18,3.77
2017-04-19,3.8
2017-04-20,3.82
2017-04-21,3.83
2017-04-24,3.85
2017-04-25,3.89
2017-04-26,3.88
2017-04-27,3.87
2017-04-28,3.85
2017-05-01,3.92
2017-05-02,3.88
2017-05-03,3.85
2017-05-04,3.89
2017-05-05,3.9
2017-05-08,3.92
2017-05-09,3.94
2017-05-10,3.94
2017-05-11,3.92
2017-05-12,3.86
2017-05-15,3.87
2017-05-16,3.85
2017-05-17,3.77
2017-05-18,3.78
2017-05-19,3.8
2017-05-22,3.81
2017-05-23,3.84
2017-05-24,3.83
2017-05-25,3.82
2017-05-26,3.81
2017-05-29,.
2017-05-30,3.78
2017-05-31,3.75
2017-06-01,3.76
2017-06-02,3.7
2017-06-05,3.72
2017-06-06,3.69
2017-06-07,3.73
2017-06-08,3.74
2017-06-09,3.74
2017-06-12,3.76
2017-06-13,3.76
2017-06-14,3.66
2017-06-15,3.67
2017-06-16,3.67
2017-06-19,3.67
2017-06-20,3.61
2017-06-21,3.6
2017-06-22,3.6
2017-06-23,3.6
2017-06-26,3.58
2017-06-27,3.62
2017-06-28,3.66
2017-06-29,3.68
2017-06-30,3.71
2017-07-03,3.72
2017-07-04,.
2017-07-05,3.72
2017-07-06,3.75
2017-07-07,3.79
2017-07-10,3.78
2017-07-11,3.74
2017-07-12,3.72
2017-07-13,3.75
2017-07-14,3.71
2017-07-17,3.69
2017-07-18,3.65
2017-07-19,3.65
2017-07-20,3.63
2017-07-21,3.61
2017-07-24,3.61
2017-07-25,3.69
2017-07-26,3.68
2017-07-27,3.71
2017-07-28,3.68
2017-07-31,3.68
2017-08-01,3.64
2017-08-02,3.63
2017-08-03,3.6
2017-08-04,3.65
2017-08-07,3.65
2017-08-08,3.68
2017-08-09,3.63
2017-08-10,3.62
2017-08-11,3.63
2017-08-14,3.65
2017-08-15,3.68
2017-08-16,3.64
2017-08-17,3.64
2017-08-18,3.64
2017-08-21,3.62
2017-08-22,3.66
2017-08-23,3.62
2017-08-24,3.64
2017-08-25,3.62
2017-08-28,3.62
2017-08-29,3.62
2017-08-30,3.62
2017-08-31,3.59
2017-09-01,3.64
2017-09-04,.
2017-09-05,3.57
2017-09-06,3.61
2017-09-07,3.6
2017-09-08,3.6
2017-09-11,3.65
2017-09-12,3.66
2017-09-13,3.67
2017-09-14,3.65
2017-09-15,3.63
2017-09-18,3.67
2017-09-19,3.67
2017-09-20,3.67
2017-09-21,3.62
2017-09-22,3.62
2017-09-25,3.58
2017-09-26,3.58
2017-09-27,3.64
2017-09-28,3.64
2017-09-29,3.62
2017-10-02,3.61
2017-10-03,3.61
2017-10-04,3.59
2017-10-05,3.61
2017-10-06,3.63
2017-10-09,3.63
2017-10-10,3.61
2017-10-11,3.6
2017-10-12,3.58
2017-10-13,3.54
2017-10-16,3.56
2017-10-17,3.54
2017-10-18,3.58
2017-10-19,3.55
2017-10-20,3.6
2017-10-23,3.6
2017-10-24,3.63
2017-10-25,3.64
2017-10-26,3.65
2017-10-27,3.63
2017-10-30,3.58
2017-10-31,3.58
2017-11-01,3.56
2017-11-02,3.53
2017-11-03,3.53
2017-11-06,3.51
2017-11-07,3.5
2017-11-08,3.57
2017-11-09,3.6
2017-11-10,.
2017-11-13,3.69
2017-11-14,3.66
2017-11-15,3.6
2017-11-16,3.62
2017-11-17,3.61
2017-11-20,3.6
2017-11-21,3.56
2017-11-22,3.52
2017-11-23,.
2017-11-24,3.53
2017-11-27,3.53
2017-11-28,3.55
2017-11-29,3.6
2017-11-30,3.61
2017-12-01,3.52
2017-12-04,3.52
2017-12-05,3.48
2017-12-06,3.48
2017-12-07,3.53
2017-12-08,3.54
2017-12-11,3.52
2017-12-12,3.52
2017-12-13,3.48
2017-12-14,3.46
2017-12-15,3.43
2017-12-18,3.48
2017-12-19,3.56
2017-12-20,3.6
2017-12-21,3.55
2017-12-22,3.55
2017-12-25,.
2017-12-26,3.53
2017-12-27,3.47
2017-12-28,3.48
2017-12-29,3.45
2018-01-01,.
2018-01-02,3.52
2018-01-03,3.5
2018-01-04,3.47
2018-01-05,3.5
2018-01-08,3.5
2018-01-09,3.57
2018-01-10,3.58
2018-01-11,3.53
2018-01-12,3.5
2018-01-15,.
2018-01-16,3.49
2018-01-17,3.5
2018-01-18,3.54
2018-01-19,3.58
2018-01-22,3.6
2018-01-23,3.57
2018-01-24,3.61
2018-01-25,3.55
2018-01-26,3.58
2018-01-29,3.59
2018-01-30,3.63
2018-01-31,3.59
2018-02-01,3.62
2018-02-02,3.73
2018-02-05,3.7
2018-02-06,3.7
2018-02-07,3.76
2018-02-08,3.79
2018-02-09,3.82
2018-02-12,3.83
2018-02-13,3.84
2018-02-14,3.88
2018-02-15,3.87
2018-02-16,3.87
2018-02-19,.
2018-02-20,3.89
2018-02-21,3.95
2018-02-22,3.9
2018-02-23,3.89
2018-02-26,3.88
2018-02-27,3.9
2018-02-28,3.84
2018-03-01,3.82
2018-03-02,3.9
2018-03-05,3.91
2018-03-06,3.88
2018-03-07,3.9
2018-03-08,3.88
2018-03-09,3.9
2018-03-12,3.87
2018-03-13,3.86
2018-03-14,3.85
2018-03-15,3.86
2018-03-16,3.87
2018-03-19,3.85
2018-03-20,3.87
2018-03-21,3.91
2018-03-22,3.86
2018-03-23,3.88
2018-03-26,3.89
2018-03-27,3.83
2018-03-28,3.82
2018-03-29,3.77
2018-03-30,.
2018-04-02,3.78
2018-04-03,3.81
2018-04-04,3.81
2018-04-05,3.83
2018-04-06,3.78
2018-04-09,3.76
2018-04-10,3.77
2018-04-11,3.75
2018-04-12,3.79
2018-04-13,3.79
2018-04-16,3.79
2018-04-17,3.76
2018-04-18,3.81
2018-04-19,3.89
2018-04-20,3.9
2018-04-23,3.94
2018-04-24,3.94
2018-04-25,3.99
2018-04-26,3.99
2018-04-27,3.94
2018-04-30,3.95
2018-05-01,3.99
2018-05-02,3.99
2018-05-03,4
2018-05-04,4.01
2018-05-07,4.01
2018-05-08,4.02
2018-05-09,4.04
2018-05-10,3.99
2018-05-11,3.98
2018-05-14,3.99
2018-05-15,4.07
2018-05-16,4.06
2018-05-17,4.08
2018-05-18,4.04
2018-05-21,4.05
2018-05-22,4.05
2018-05-23,4.02
2018-05-24,3.98
2018-05-25,3.93
2018-05-28,.
2018-05-29,3.85
2018-05-30,3.89
2018-05-31,3.85
2018-06-01,3.92
2018-06-04,3.96
2018-06-05,3.95
2018-06-06,4
2018-06-07,3.95
2018-06-08,3.96
2018-06-11,3.96
2018-06-12,3.97
2018-06-13,3.98
2018-06-14,3.92
2018-06-15,3.91
2018-06-18,3.94
2018-06-19,3.93
2018-06-20,3.99
2018-06-21,3.98
2018-06-22,3.99
2018-06-25,3.98
2018-06-26,3.98
2018-06-27,3.93
2018-06-28,3.93
2018-06-29,3.93
2018-07-02,3.93
2018-07-03,3.9
2018-07-04,.
2018-07-05,3.89
2018-07-06,3.88
2018-07-09,3.85
2018-07-10,3.85
2018-07-11,3.82
2018-07-12,3.81
2018-07-13,3.8
2018-07-16,3.82
2018-07-17,3.84
2018-07-18,3.85
2018-07-19,3.83
2018-07-20,3.9
2018-07-23,3.96
2018-07-24,3.91
2018-07-25,3.9
2018-07-26,3.92
2018-07-27,3.9
2018-07-30,3.91
